"Agency Name:","County of Court","Warrant Number","Submitted","Nature of the investigation","Primary Nature","Crime of Violence Options","Secondary Nature","Order Served on","Business Name","Items to be searched for:","Start Date for Info","End Date for Info","Grounds for Issuance","Reasons for Delay (if any)","Emergency?","Facts giving rise to the emergency"
"Montclair PD","San Bernardino"," ","02/19/2020 - 10:01","Ongoing homicide investigation","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Location information
","Wed, 2019-07-17","Wed, 2019-07-24","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Montclair PD","San Bernardino"," ","02/19/2020 - 10:02","Ongoing homicide investigation","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Location information
","Wed, 2019-07-17","Wed, 2019-07-24","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Montclair PD","San Bernardino"," ","02/19/2020 - 10:03","Ongoing homicide investigation","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Location information
","Wed, 2019-07-17","Wed, 2019-07-24","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Montclair PD","San Bernardino","RASW191780","02/19/2020 - 10:08","Ongoing homicide investigation.","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","Wed, 2019-05-15","Thu, 2019-08-08","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Montclair PD","San Bernardino","RASW191780","02/19/2020 - 10:12","Ongoing homicide investigation","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2019-05-15","Thu, 2019-08-08","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Montclair PD","San Bernardino","RASW192086","02/19/2020 - 10:19","Ongoing homicide investigation","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2019-05-15","Fri, 2019-09-20","tends to show that a felony has been committed or that a particular person has committed a felony","lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Montclair PD","San Bernardino","RASW191777","02/19/2020 - 10:22","Ongoing homicide invstigation","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sat, 2019-06-01","Thu, 2019-08-08","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Montclair PD","San Bernardino"," ","02/19/2020 - 10:24","Ongoing homicide investigation","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2018-01-01","Thu, 2019-10-10","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Montclair PD","San Bernardino"," ","02/19/2020 - 10:26","Ongoing homicide investigation","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2017-03-01","Thu, 2019-10-10","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Montclair PD","San Bernardino","RASW200108","02/19/2020 - 10:30","Ongoing homicide investigation","Homicide"," ","Gang Related","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2019-05-01","Fri, 2020-01-17","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Montclair PD","San Bernardino","RASW200161","02/19/2020 - 10:32","Ongoing homicide investigation","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Location information
","Mon, 2019-07-15","Thu, 2019-07-25","was used as the means of committing a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles","84650","02/19/2020 - 14:08","Suspect fired several rounds into an inhabited building.","Crime of Violence","Assault"," ","Business","AT&T, T-Mobile, Sprint, Metro-PCS, Verizon","Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","Thu, 2019-07-04","Mon, 2019-07-08","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
